"i" "HH" "U" "V"
"98" 1960 9.10656071696963 6.01267060824056 9.99939226405071
"99" 1980 9.16382705471385 5.51888205317866 9.94839792273463
"100" 2000 9.35738500637732 6.09348238188636 10.0243584167748
"101" 2020 8.8651175152854 5.79047173213881 9.7419251464963
"102" 2040 8.97944410905005 5.73696369379758 10.1701485793945
"103" 2060 8.59837519082246 5.70774267566316 10.1500686473058
"104" 2080 8.75529212432359 5.69168738564871 9.31082512923776
"105" 2100 8.87312026230681 5.55508495411162 9.40641216429522
"106" 2120 9.00164465017541 5.18084542603653 9.09288648743066
"107" 2140 8.64998338831707 5.33188328431652 9.21201151097197
"108" 2160 8.29279211176908 5.29004676936579 9.47730682018844
"109" 2180 8.78001600543 5.41521424175559 9.7251911891369
"110" 2200 8.10846728704951 5.23320263354412 9.40138000300653
"111" 2220 8.85001234042658 5.63161328098009 9.50067706023408
"112" 2240 8.32693177337409 5.15385873895562 9.57129142739835
"113" 2260 8.45913537581432 5.28509690813423 9.06626045409978
"114" 2280 8.54945437798355 5.42538058219069 9.36654129202757
"115" 2300 8.46373404745368 5.07097462746609 9.04871967875054
"116" 2320 8.24604819292022 4.94420262575119 9.14119374036154
"117" 2340 8.68101169135729 5.31444120895389 9.50235281864855
"118" 2360 8.64841461656212 5.22055593509186 9.09445636825987
"119" 2380 8.02329308146787 5.46315171481307 8.81891374111315
"120" 2400 7.80922817699805 5.56933059098916 9.30239815228425
"121" 2420 8.00221033158205 4.87752925258214 9.32031858375592
"122" 2440 7.97324988796602 5.15913099972302 8.73248326020696
"123" 2460 7.60446904877474 4.94735203101357 8.8189779712528
"124" 2480 7.93098402301123 5.26926437097304 8.97111809675742
"125" 2500 7.79792583982789 4.92579121982372 9.14066349366739
"126" 2520 8.17577861509205 5.02098589734663 9.12779139086368
"127" 2540 8.13004893162158 4.8907057591785 8.79093182351484
"128" 2560 8.31240268645628 4.88010920026925 8.88568149719411
"129" 2580 7.68612725413536 4.90481826980852 9.03388778566676
"130" 2600 7.75083628438991 4.83858669629463 8.63669854207316
"131" 2620 7.80117781226684 4.98635233207156 8.26098120542466
"132" 2640 7.82611432018822 4.84522223576733 8.92770520576175
"133" 2660 7.4811213661655 4.91820477208058 8.22897046774551
"134" 2680 7.80241269148928 4.72507028854764 8.61578239313658
"135" 2700 7.63012370710744 4.83288640044589 8.1730382458698
"136" 2720 7.38054251200511 4.93381567541521 8.75955092258792
