intnum,q0,q1a,q1b,q2,q3,f1,f2a,f2b,f3,f4,f5_1,f5_2,f5_3,f5_4,f5_5,f5_6,f5_7,f5_8,f5_9,f5_10,f5_11,f5_12,f5_13,f5_14,f5_15,f5_16,s1,s2,s3,gew
508,2,-99.99,3,1,-99.99,1,300,-99.99,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
514,2,-99.99,3,1,-99.99,1,150,-99.99,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
521,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
535,1,9,-99.99,1,2,1,20,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.104565
544,1,3,-99.99,1,1,5,0,-99.99,-99.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
545,1,7,-99.99,1,1,4,4,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.118357
558,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
562,2,-99.99,1,1,-99.99,3,0,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
580,1,3,-99.99,1,1,2,92,-99.99,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
581,1,3,-99.99,1,1,5,0,-99.99,-99.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
582,1,7,-99.99,1,1,1,-90,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.118357
611,2,-99.99,3,1,-99.99,1,80,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
619,2,-99.99,2,1,-99.99,2,20,-99.99,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
625,1,10,-99.99,1,-99.99,5,0,-99.99,-99.99,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
627,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
655,1,9,-99.99,1,1,1,80,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.126647
662,2,-99.99,1,1,-99.99,2,500,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
674,1,9,-99.99,1,1,1,300,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,3,1.126647
700,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
701,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
703,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
730,1,8,-99.99,1,1,2,20,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.119703
745,1,3,-99.99,1,1,1,50,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
759,2,-99.99,1,1,-99.99,4,15,-99.99,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
760,1,10,-99.99,1,-99.99,1,250,-99.99,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-99.99,1,.73848
763,1,1,-99.99,1,1,1,50,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.124519
768,2,-99.99,3,1,-99.99,5,0,-99.99,-99.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
773,1,8,-99.99,1,1,1,100,-99.99,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.119703
775,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
782,1,10,-99.99,1,-99.99,5,0,-99.99,-99.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
787,2,-99.99,1,1,-99.99,1,120,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
810,1,1,-99.99,1,3,5,0,-99.99,-99.99,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.450265
812,1,3,-99.99,1,2,1,300,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1.062491
844,1,3,-99.99,1,1,1,150,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
852,1,3,-99.99,1,1,4,10,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
854,1,3,-99.99,1,1,5,0,-99.99,-99.99,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.120894
858,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
862,2,-99.99,1,1,-99.99,1,-90,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
868,1,1,-99.99,1,1,1,150,-99.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.124519
882,2,-99.99,2,1,-99.99,5,0,-99.99,-99.99,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
885,1,1,-99.99,1,2,1,50,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.112284
892,1,2,-99.99,1,1,1,100,-99.99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.128891
893,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
901,2,-99.99,1,1,-99.99,5,0,-99.99,-99.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.99,-99.99,1,1
904,1,10,-99.99,1,-99.99,2,100,-99.99,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
966,1,10,-99.99,1,-99.99,1,27,-99.99,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,.73848
986,1,1,-99.99,1,2,1,-90,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-99.99,1,1.112284
